time,open,high,low,close,volume
2025-07-08T17:20:00.000000000Z,107.281,107.287,107.248,107.251,567
2025-07-08T17:25:00.000000000Z,107.25,107.264,107.232,107.246,743
2025-07-08T17:30:00.000000000Z,107.248,107.261,107.195,107.222,615
2025-07-08T17:35:00.000000000Z,107.222,107.226,107.188,107.195,576
2025-07-08T17:40:00.000000000Z,107.197,107.203,107.176,107.192,427
2025-07-08T17:45:00.000000000Z,107.192,107.222,107.185,107.212,677
2025-07-08T17:50:00.000000000Z,107.212,107.216,107.188,107.197,593
2025-07-08T17:55:00.000000000Z,107.198,107.228,107.185,107.218,534
2025-07-08T18:00:00.000000000Z,107.219,107.239,107.208,107.213,582
2025-07-08T18:05:00.000000000Z,107.214,107.24,107.198,107.24,600
2025-07-08T18:10:00.000000000Z,107.239,107.27,107.233,107.262,517
2025-07-08T18:15:00.000000000Z,107.266,107.27,107.246,107.248,435
2025-07-08T18:20:00.000000000Z,107.249,107.257,107.239,107.24,392
2025-07-08T18:25:00.000000000Z,107.24,107.254,107.236,107.239,360
2025-07-08T18:30:00.000000000Z,107.24,107.25,107.23,107.236,450
2025-07-08T18:35:00.000000000Z,107.237,107.245,107.22,107.222,566
2025-07-08T18:40:00.000000000Z,107.222,107.226,107.204,107.21,603
2025-07-08T18:45:00.000000000Z,107.206,107.228,107.203,107.225,196
2025-07-08T18:50:00.000000000Z,107.227,107.266,107.224,107.248,518
2025-07-08T18:55:00.000000000Z,107.249,107.27,107.228,107.234,479
2025-07-08T19:00:00.000000000Z,107.238,107.238,107.201,107.219,541
2025-07-08T19:05:00.000000000Z,107.22,107.228,107.21,107.218,453
2025-07-08T19:10:00.000000000Z,107.221,107.224,107.204,107.213,333
2025-07-08T19:15:00.000000000Z,107.212,107.22,107.206,107.218,416
2025-07-08T19:20:00.000000000Z,107.219,107.222,107.204,107.21,401
2025-07-08T19:25:00.000000000Z,107.209,107.23,107.204,107.225,424
2025-07-08T19:30:00.000000000Z,107.226,107.23,107.212,107.224,315
2025-07-08T19:35:00.000000000Z,107.224,107.228,107.209,107.21,197
2025-07-08T19:40:00.000000000Z,107.206,107.21,107.194,107.206,121
2025-07-08T19:45:00.000000000Z,107.21,107.219,107.188,107.194,408
2025-07-08T19:50:00.000000000Z,107.198,107.198,107.172,107.178,281
2025-07-08T19:55:00.000000000Z,107.18,107.183,107.154,107.156,589
2025-07-08T20:00:00.000000000Z,107.158,107.189,107.148,107.17,513
2025-07-08T20:05:00.000000000Z,107.171,107.196,107.171,107.182,246
2025-07-08T20:10:00.000000000Z,107.18,107.196,107.171,107.18,263
2025-07-08T20:15:00.000000000Z,107.18,107.206,107.171,107.206,185
2025-07-08T20:20:00.000000000Z,107.204,107.22,107.19,107.218,235
2025-07-08T20:25:00.000000000Z,107.215,107.238,107.215,107.228,163
2025-07-08T20:30:00.000000000Z,107.23,107.255,107.22,107.255,203
2025-07-08T20:35:00.000000000Z,107.254,107.264,107.238,107.24,146
