time,open,high,low,close,volume
2025-07-08T17:20:00.000000000Z,88.079,88.09,88.05,88.062,265
2025-07-08T17:25:00.000000000Z,88.06,88.082,88.058,88.061,155
2025-07-08T17:30:00.000000000Z,88.066,88.086,88.023,88.027,129
2025-07-08T17:35:00.000000000Z,88.031,88.048,88.02,88.022,211
2025-07-08T17:40:00.000000000Z,88.026,88.054,88.018,88.052,142
2025-07-08T17:45:00.000000000Z,88.055,88.055,88.028,88.04,264
2025-07-08T17:50:00.000000000Z,88.04,88.066,88.034,88.061,323
2025-07-08T17:55:00.000000000Z,88.06,88.08,88.06,88.066,360
2025-07-08T18:00:00.000000000Z,88.065,88.075,88.042,88.046,447
2025-07-08T18:05:00.000000000Z,88.043,88.058,88.032,88.051,359
2025-07-08T18:10:00.000000000Z,88.05,88.078,88.044,88.069,353
2025-07-08T18:15:00.000000000Z,88.066,88.071,88.05,88.054,328
2025-07-08T18:20:00.000000000Z,88.055,88.055,88.029,88.034,361
2025-07-08T18:25:00.000000000Z,88.036,88.039,88.024,88.03,328
2025-07-08T18:30:00.000000000Z,88.03,88.034,88.008,88.017,359
2025-07-08T18:35:00.000000000Z,88.016,88.029,88.014,88.022,333
2025-07-08T18:40:00.000000000Z,88.022,88.026,87.989,87.997,314
2025-07-08T18:45:00.000000000Z,87.996,88.012,87.991,88.008,277
2025-07-08T18:50:00.000000000Z,88.01,88.025,88.0,88.018,241
2025-07-08T18:55:00.000000000Z,88.014,88.018,87.998,88.0,74
2025-07-08T19:00:00.000000000Z,88.0,88.0,87.96,87.961,3
2025-07-08T19:05:00.000000000Z,87.96,87.971,87.947,87.953,59
2025-07-08T19:10:00.000000000Z,87.951,87.951,87.928,87.928,43
2025-07-08T19:15:00.000000000Z,87.928,87.946,87.928,87.944,22
2025-07-08T19:20:00.000000000Z,87.948,87.952,87.935,87.935,29
2025-07-08T19:25:00.000000000Z,87.934,87.949,87.932,87.948,34
2025-07-08T19:30:00.000000000Z,87.943,87.949,87.928,87.928,37
2025-07-08T19:35:00.000000000Z,87.926,87.929,87.919,87.92,35
2025-07-08T19:40:00.000000000Z,87.917,87.924,87.912,87.912,26
2025-07-08T19:45:00.000000000Z,87.909,87.922,87.907,87.912,43
2025-07-08T19:50:00.000000000Z,87.909,87.909,87.884,87.893,35
2025-07-08T19:55:00.000000000Z,87.896,87.911,87.89,87.904,66
2025-07-08T20:00:00.000000000Z,87.9,87.908,87.87,87.882,81
2025-07-08T20:05:00.000000000Z,87.886,87.902,87.884,87.892,47
2025-07-08T20:10:00.000000000Z,87.89,87.895,87.876,87.884,36
2025-07-08T20:15:00.000000000Z,87.88,87.884,87.872,87.879,35
2025-07-08T20:20:00.000000000Z,87.876,87.878,87.866,87.878,26
2025-07-08T20:25:00.000000000Z,87.876,87.891,87.876,87.884,27
2025-07-08T20:30:00.000000000Z,87.884,87.89,87.875,87.888,85
2025-07-08T20:35:00.000000000Z,87.888,87.914,87.884,87.908,144
2025-07-08T20:40:00.000000000Z,87.906,87.913,87.904,87.906,157
2025-07-08T20:45:00.000000000Z,87.902,87.902,87.888,87.898,216
2025-07-08T20:50:00.000000000Z,87.899,87.916,87.896,87.91,217
2025-07-08T20:55:00.000000000Z,87.909,87.915,87.895,87.896,134
2025-07-08T21:00:00.000000000Z,87.92,87.92,87.92,87.92,1
2025-07-08T21:05:00.000000000Z,87.935,87.935,87.928,87.93,9
2025-07-08T21:10:00.000000000Z,87.925,87.932,87.925,87.925,3
2025-07-08T21:15:00.000000000Z,87.903,87.948,87.898,87.948,6
2025-07-08T21:20:00.000000000Z,87.922,87.932,87.904,87.913,11
2025-07-08T21:25:00.000000000Z,87.912,87.912,87.906,87.906,10
2025-07-08T21:30:00.000000000Z,87.906,87.906,87.903,87.903,4
2025-07-08T21:35:00.000000000Z,87.902,87.902,87.902,87.902,1
2025-07-08T21:40:00.000000000Z,87.9,87.901,87.9,87.901,3
2025-07-08T21:45:00.000000000Z,87.898,87.899,87.884,87.886,13
2025-07-08T21:50:00.000000000Z,87.886,87.922,87.886,87.914,49
2025-07-08T21:55:00.000000000Z,87.912,87.93,87.882,87.888,44
2025-07-08T22:00:00.000000000Z,87.908,87.934,87.884,87.926,74
2025-07-08T22:05:00.000000000Z,87.922,87.944,87.922,87.934,33
2025-07-08T22:10:00.000000000Z,87.942,87.95,87.934,87.942,38
2025-07-08T22:15:00.000000000Z,87.944,87.954,87.942,87.942,18
2025-07-08T22:20:00.000000000Z,87.936,87.949,87.931,87.936,34
2025-07-08T22:25:00.000000000Z,87.934,87.94,87.928,87.938,17
2025-07-08T22:30:00.000000000Z,87.938,87.956,87.938,87.951,36
2025-07-08T22:35:00.000000000Z,87.946,87.96,87.941,87.953,38
2025-07-08T22:40:00.000000000Z,87.957,87.97,87.93,87.934,28
2025-07-08T22:45:00.000000000Z,87.932,87.932,87.932,87.932,4
2025-07-08T22:50:00.000000000Z,87.941,87.952,87.922,87.932,28
2025-07-08T22:55:00.000000000Z,87.931,87.936,87.924,87.93,20
2025-07-08T23:00:00.000000000Z,87.927,87.952,87.927,87.949,37
2025-07-08T23:05:00.000000000Z,87.949,87.963,87.942,87.958,54
2025-07-08T23:10:00.000000000Z,87.955,87.986,87.952,87.986,40
2025-07-08T23:15:00.000000000Z,87.99,87.998,87.972,87.99,115
2025-07-08T23:20:00.000000000Z,87.991,87.997,87.968,87.982,135
2025-07-08T23:25:00.000000000Z,87.991,88.009,87.99,88.002,105
2025-07-08T23:30:00.000000000Z,88.001,88.01,87.988,87.988,151
2025-07-08T23:35:00.000000000Z,87.99,88.016,87.99,88.0,64
2025-07-08T23:40:00.000000000Z,87.997,88.03,87.994,88.03,89
2025-07-08T23:45:00.000000000Z,88.029,88.038,88.007,88.018,197
2025-07-08T23:50:00.000000000Z,88.019,88.034,88.012,88.025,237
2025-07-08T23:55:00.000000000Z,88.024,88.03,87.98,88.016,89
2025-07-09T00:00:00.000000000Z,88.017,88.033,87.97,87.987,279
2025-07-09T00:05:00.000000000Z,87.988,87.991,87.946,87.948,210
2025-07-09T00:10:00.000000000Z,87.952,87.966,87.918,87.933,261
2025-07-09T00:15:00.000000000Z,87.932,87.97,87.924,87.952,147
2025-07-09T00:20:00.000000000Z,87.951,87.986,87.94,87.946,332
